T,TM,Tm,H,VV,V,VM,PM2.5
30.1,35,27,75,2.9,9.1,16.5,29.958333333333332
31.6,37,27,67,4.7,16.7,24.1,23.875
31.1,35,28,63,4.2,15.7,24.1,22.333333333333332
30.7,34,27,62,4.2,14.3,27.8,25.083333333333332
33,37,28,54,3.5,10.4,22.2,66.79166666666667
33,37,28,49,3.7,11.5,22.2,64.875
32.9,38,28,44,3.9,11.9,22.2,47.583333333333336
33.9,40,29,47,4.3,10.2,20.6,33.5
33.9,40,28,46,4.5,13.7,20.6,43.041666666666664
33.3,38,28,49,4.5,11.3,22.2,38.416666666666664
27.3,33,25,87,1.9,9.3,22.2,49.291666666666664
29.8,34,26,66,4.2,16.5,22.2,19.541666666666668
29.2,33,27,70,3.7,14.8,24.1,22.833333333333332
27.6,31,26,82,2.7,14.3,25.9,24.291666666666668
30.9,36,27,70,2.6,4.3,11.1,74.66666666666667
30.7,35,28,71,4,9.4,16.5,41.875
30.3,34,27,73,2.9,6.1,11.1,50.583333333333336
29.3,33,24,69,3.4,7,14.8,58.125
28.1,34,23,71,4.5,11.3,20.6,57.291666666666664
29.7,35,23,66,4,9.4,18.3,38.25
30.7,35,26,60,4.2,7.6,16.5,47.416666666666664
30.8,36,26,57,3.7,7.8,14.8,56.916666666666664
30.4,35,25,54,3.9,10.7,20.6,54.625
30,36,24,50,4,9.4,18.3,45.958333333333336
30.2,36,25,50,4.2,10.2,22.2,52.25
30.8,36,25,48,4.3,12,18.3,43.333333333333336
31.2,37,25,47,3.7,8,18.3,41.958333333333336
30.8,35,26,49,4.2,7,14.8,0.0
30.6,38,25,49,3.4,7,14.8,0.0
30.7,36,25,55,3.1,8.7,13,45.75
28.4,34,23,53,3.7,9.3,14.8,70.70833333333333
28.1,35,22,48,4,10.4,18.3,51.791666666666664
27.9,32,21,55,3.9,13.3,18.3,0.0
24.6,28,21,68,4.3,10.6,22.2,11.583333333333334
24.4,30,19,67,3.4,6.1,16.5,13.0
23.6,31,17,52,2.1,6.1,16.5,156.25
24.6,32,17,52,1.9,6.1,16.5,156.0
26.8,34,19,46,2.3,6.5,13,151.79166666666666
26.2,32,21,57,1.6,4.3,9.4,252.625
25.6,32,20,58,2.4,5.4,14.8,119.41666666666667
25.7,32,20,53,2.1,3.3,9.4,126.0
24.1,30,18,49,1.1,6.3,13,232.33333333333334
21.8,28,16,53,1.6,8.9,16.5,215.54166666666666
23.4,31,15,43,1.9,6.9,18.3,239.41666666666666
24.4,30,17,48,1.8,8.3,16.5,196.54166666666666
27.9,31,20,46,1.6,6.9,11.1,232.54166666666666
26.3,32,20,48,1.8,8,18.3,185.5
24.6,31,18,53,1.4,9.1,14.8,282.1666666666667
17.9,27,12,50,1.4,6.9,18.3,257.6666666666667
18.4,27,10,42,2.1,8.3,20.6,166.875
20,27,11,35,2.4,10.6,18.3,135.16666666666666
18.1,28,11,48,1.4,3.7,9.4,211.45833333333334
18.2,27,10,48,1.3,4.3,14.8,215.5
17.3,26,11,52,1.3,3.1,13,223.375
17.5,26,11,41,2.4,8,16.5,135.58333333333334
17.9,27,10,44,2.1,7.4,22.2,152.04166666666666
21.6,28,11,37,2.1,5.6,9.4,141.41666666666666
